BJD,FLUX,ERRFLUX,AIRMASS,SKY
    503.892794, 0.983843, 0.000249, 1.217,  878.
    503.893516, 0.986603, 0.000247, 1.217,  874.
    503.894239, 0.988745, 0.000251, 1.216,  890.
    503.894961, 0.987288, 0.000249, 1.216,  902.
    503.895683, 0.986339, 0.000248, 1.216,  950.
    503.896405, 0.985814, 0.000249, 1.215,  999.
    503.897127, 0.984530, 0.000249, 1.215,  946.
    503.897849, 0.982831, 0.000248, 1.215,  945.
    503.898571, 0.982362, 0.000250, 1.215,  875.
    503.899293, 0.980828, 0.000249, 1.214,  873.
    503.900016, 0.981889, 0.000249, 1.214,  884.
    503.900738, 0.979456, 0.000248, 1.214,  796.
    503.901460, 0.980303, 0.000250, 1.214,  802.
    503.902182, 0.978389, 0.000250, 1.214,  817.
    503.902904, 0.978017, 0.000249, 1.213,  783.
    503.903627, 0.978928, 0.000249, 1.213,  806.
    503.904349, 0.977915, 0.000249, 1.213,  834.
    503.905072, 0.977725, 0.000250, 1.213,  762.
    503.905794, 0.976024, 0.000249, 1.212,  730.
    503.906516, 0.975954, 0.000250, 1.212,  735.
    503.907238, 0.976672, 0.000250, 1.212,  715.
    503.907961, 0.975629, 0.000249, 1.212,  743.
    503.908683, 0.974626, 0.000250, 1.212,  747.
    503.909405, 0.973905, 0.000253, 1.212,  740.
    503.910127, 0.975571, 0.000250, 1.211,  710.
    503.910849, 0.973883, 0.000253, 1.211,  715.
    503.911571, 0.974558, 0.000252, 1.211,  677.
    503.912294, 0.973790, 0.000252, 1.211,  721.
    503.913016, 0.972984, 0.000253, 1.211,  781.
    503.913738, 0.972682, 0.000252, 1.211,  827.
    503.914460, 0.973303, 0.000252, 1.211,  771.
    503.915182, 0.974263, 0.000252, 1.211,  763.
    503.915904, 0.974620, 0.000250, 1.210,  792.
    503.916627, 0.972947, 0.000252, 1.210,  862.
    503.917349, 0.973555, 0.000251, 1.210,  816.
    503.918071, 0.972701, 0.000251, 1.210,  831.
    503.918793, 0.973265, 0.000252, 1.210,  868.
    503.919515, 0.971250, 0.000251, 1.210,  808.
