name;gender;category;year
John R. Vane;male;Physiology_or_Medicine;1982
Sune K. Bergström;male;Physiology_or_Medicine;1982
Chen Ning Yang;male;Physics;1957
Tsung-Dao (T.D.) Lee;male;Physics;1957
Aleksandr Isayevich Solzhenitsyn;male;Literature;1970
Christiaan Eijkman;male;Physiology_or_Medicine;1929
Sir Frederick Gowland Hopkins;male;Physiology_or_Medicine;1929
Carl Bosch;male;Chemistry;1931
Friedrich Bergius;male;Chemistry;1931
Albert John Lutuli;male;Peace;1960
Albert von Szent-Györgyi Nagyrápolt;male;Physiology_or_Medicine;1937
Anatole France;male;Literature;1921
Alfred Kastler;male;Physics;1966
Arieh Warshel;male;Chemistry;2013
Michael Levitt;male;Chemistry;2013
Martin Karplus;male;Chemistry;2013
Arthur Harden;male;Chemistry;1929
Hans Karl August Simon von Euler-Chelpin;male;Chemistry;1929
Bert Sakmann;male;Physiology_or_Medicine;1991
Erwin Neher;male;Physiology_or_Medicine;1991
Charles Jules Henri Nicolle;male;Physiology_or_Medicine;1928
Aristide Briand;male;Peace;1926
Gustav Stresemann;male;Peace;1926
Elizabeth Williams;female;Peace;1976
Mairead Corrigan;female;Peace;1976
Charles Glover Barkla;male;Physics;1917
Arne Wilhelm Kaurin Tiselius;male;Chemistry;1948
Albert Abraham Michelson;male;Physics;1907
Abhijit Banerjee;male;Economic_Sciences;2019
Esther Duflo;female;Economic_Sciences;2019
Michael Kremer;male;Economic_Sciences;2019
Charles Edouard Guillaume;male;Physics;1920
Albert Einstein;male;Physics;1921
Auguste Marie François Beernaert;male;Peace;1909
Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque;male;Peace;1909
Alvin E. Roth;male;Economic_Sciences;2012
Lloyd S. Shapley;male;Economic_Sciences;2012
Theodore Roosevelt Jr.;male;Peace;1906
Luis Walter Alvarez;male;Physics;1968
Derek H. R. Barton;male;Chemistry;1969
Odd Hassel;male;Chemistry;1969
George A. Olah;male;Chemistry;1994
Rudolf Ludwig Mössbauer;male;Physics;1961
Robert Hofstadter;male;Physics;1961
Dag Hjalmar Agne Carl Hammarskjöld;male;Peace;1961
Oliver Smithies;male;Physiology_or_Medicine;2007
Mario R. Capecchi;male;Physiology_or_Medicine;2007
Sir Martin J. Evans;male;Physiology_or_Medicine;2007
Robert J. Aumann;male;Economic_Sciences;2005
Thomas C. Schelling;male;Economic_Sciences;2005
Sir Edward Victor Appleton;male;Physics;1947
William C. Campbell;male;Physiology_or_Medicine;2015
Satoshi Ōmura;male;Physiology_or_Medicine;2015
Tu Youyou;female;Physiology_or_Medicine;2015
Elfriede Jelinek;female;Literature;2004
Murray Gell-Mann;male;Physics;1969
John Galsworthy;male;Literature;1932
Elias Canetti;male;Literature;1981
Wilhelm Wien;male;Physics;1911
Clive W.J. Granger;male;Economic_Sciences;2003
Robert F. Engle III;male;Economic_Sciences;2003
Rita Levi-Montalcini;female;Physiology_or_Medicine;1986
Stanley Cohen;male;Physiology_or_Medicine;1986
Richard Kuhn;male;Chemistry;1938
Eugene F. Fama;male;Economic_Sciences;2013
Lars Peter Hansen;male;Economic_Sciences;2013
Robert J. Shiller;male;Economic_Sciences;2013
Kazuo Ishiguro;male;Literature;2017
Doris Lessing;female;Literature;2007
Jack S. Kilby;male;Physics;2000
Zhores I. Alferov;male;Physics;2000
Herbert Kroemer;male;Physics;2000
Thomas Mann;male;Literature;1929
Joseph Rotblat;male;Peace;1995
Sir Nevill Francis Mott;male;Physics;1977
John Hasbrouck Van Vleck;male;Physics;1977
Philip Warren Anderson;male;Physics;1977
Henri La Fontaine;male;Peace;1913
Elie Wiesel;male;Peace;1986
Paul Karrer;male;Chemistry;1937
Walter Norman Haworth;male;Chemistry;1937
Shirin Ebadi;female;Peace;2003
Tim Hunt;male;Physiology_or_Medicine;2001
Sir Paul M. Nurse;male;Physiology_or_Medicine;2001
Leland H. Hartwell;male;Physiology_or_Medicine;2001
Johannes Diderik van der Waals;male;Physics;1910
Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck;male;Literature;1911
Feodor Lynen;male;Physiology_or_Medicine;1964
Konrad Bloch;male;Physiology_or_Medicine;1964
Petrus (Peter) Josephus Wilhelmus Debye;male;Chemistry;1936
Pieter Zeeman;male;Physics;1902
Hendrik Antoon Lorentz;male;Physics;1902
Rudyard Kipling;male;Literature;1907
Sully Prudhomme;male;Literature;1901
Val Logsdon Fitch;male;Physics;1980
James Watson Cronin;male;Physics;1980
Karl Ziegler;male;Chemistry;1963
Giulio Natta;male;Chemistry;1963
Yasser Arafat;male;Peace;1994
Yitzhak Rabin;male;Peace;1994
Shimon Peres;male;Peace;1994
Roger B. Myerson;male;Economic_Sciences;2007
Eric S. Maskin;male;Economic_Sciences;2007
Leonid Hurwicz;male;Economic_Sciences;2007
Martin Luther King Jr.;male;Peace;1964
Denis Mukwege;male;Peace;2018
Nadia Murad Basee Taha;female;Peace;2018
Sir William Henry Bragg;male;Physics;1915
William Lawrence Bragg;male;Physics;1915
Christian Matthias Theodor Mommsen;male;Literature;1902
Walter Rudolf Hess;male;Physiology_or_Medicine;1949
António Caetano de Abreu Freire Egas Moniz;male;Physiology_or_Medicine;1949
John R. Hicks;male;Economic_Sciences;1972
Kenneth J. Arrow;male;Economic_Sciences;1972
Jean Henry Dunant;male;Peace;1901
Frédéric Passy;male;Peace;1901
Richard Henderson;male;Chemistry;2017
Joachim Frank;male;Chemistry;2017
Jacques Dubochet;male;Chemistry;2017
Elinor Ostrom;female;Economic_Sciences;2009
Oliver E. Williamson;male;Economic_Sciences;2009
Dorothy Crowfoot Hodgkin;female;Chemistry;1964
Robert B. Wilson;male;Economic_Sciences;2020
Paul R. Milgrom;male;Economic_Sciences;2020
Paul D. Boyer;male;Chemistry;1997
Jens C. Skou;male;Chemistry;1997
John E. Walker;male;Chemistry;1997
Henryk Sienkiewicz;male;Literature;1905
Walther Bothe;male;Physics;1954
Max Born;male;Physics;1954
Masatoshi Koshiba;male;Physics;2002
Raymond Davis Jr.;male;Physics;2002
Riccardo Giacconi;male;Physics;2002
Svetlana Alexievich;female;Literature;2015
Frances H. Arnold;female;Chemistry;2018
Sir Gregory P. Winter;male;Chemistry;2018
George P. Smith;male;Chemistry;2018
Ivan Alekseyevich Bunin;male;Literature;1933
Gabriela Mistral;female;Literature;1945
William Parry Murphy;male;Physiology_or_Medicine;1934
George Richards Minot;male;Physiology_or_Medicine;1934
George Hoyt Whipple;male;Physiology_or_Medicine;1934
Mario Vargas Llosa;male;Literature;2010
Ulf von Euler;male;Physiology_or_Medicine;1970
Sir Bernard Katz;male;Physiology_or_Medicine;1970
Julius Axelrod;male;Physiology_or_Medicine;1970
Harold Pinter;male;Literature;2005
Willis Eugene Lamb;male;Physics;1955
Polykarp Kusch;male;Physics;1955
The (Theodor) Svedberg;male;Chemistry;1926
Seán MacBride;male;Peace;1974
Eisaku Sato;male;Peace;1974
Gary S. Becker;male;Economic_Sciences;1992
Niels Ryberg Finsen;male;Physiology_or_Medicine;1903
Robert G. Edwards;male;Physiology_or_Medicine;2010
Edvard I. Moser;male;Physiology_or_Medicine;2014
John O'Keefe;male;Physiology_or_Medicine;2014
May-Britt Moser;female;Physiology_or_Medicine;2014
George J. Stigler;male;Economic_Sciences;1982
Otto Heinrich Warburg;male;Physiology_or_Medicine;1931
Wilhelm Ostwald;male;Chemistry;1909
Kenichi Fukui;male;Chemistry;1981
Roald Hoffmann;male;Chemistry;1981
François Mauriac;male;Literature;1952
Nikolay Nikolaevich Semenov;male;Chemistry;1956
Sir Cyril Norman Hinshelwood;male;Chemistry;1956
Jane Addams;female;Peace;1931
Nicholas Murray Butler;male;Peace;1931
Peter Agre;male;Chemistry;2003
Roderick MacKinnon;male;Chemistry;2003
Sir Arthur Lewis;male;Economic_Sciences;1979
Theodore W. Schultz;male;Economic_Sciences;1979
Karl Landsteiner;male;Physiology_or_Medicine;1930
Makoto Kobayashi;male;Physics;2008
Yoichiro Nambu;male;Physics;2008
Toshihide Maskawa;male;Physics;2008
Michael Smith;male;Chemistry;1993
Kary B. Mullis;male;Chemistry;1993
Thomas Hunt Morgan;male;Physiology_or_Medicine;1933
William Francis Giauque;male;Chemistry;1949
Grazia Deledda;female;Literature;1926
Gerd Binnig;male;Physics;1986
Heinrich Rohrer;male;Physics;1986
Ernst Ruska;male;Physics;1986
William Randal Cremer;male;Peace;1903
Paul Hermann Müller;male;Physiology_or_Medicine;1948
Derek Walcott;male;Literature;1992
Knut Pedersen Hamsun;male;Literature;1920
Eduard Buchner;male;Chemistry;1907
Georges Pire;male;Peace;1958
Ferdinand Buisson;male;Peace;1927
Ludwig Quidde;male;Peace;1927
Robert W. Holley;male;Physiology_or_Medicine;1968
Har Gobind Khorana;male;Physiology_or_Medicine;1968
Marshall W. Nirenberg;male;Physiology_or_Medicine;1968
Shinya Yamanaka;male;Physiology_or_Medicine;2012
Sir John B. Gurdon;male;Physiology_or_Medicine;2012
Ellen Johnson Sirleaf;female;Peace;2011
Leymah Gbowee;female;Peace;2011
