BJD,FLUX,ERRFLUX,AIRMASS,SKY
    119.363248, 1.000415, 0.001160, 1.282,  589.
    119.363636, 0.999840, 0.001157, 1.282,  587.
    119.364021, 0.996263, 0.001153, 1.281,  586.
    119.364407, 0.996403, 0.001154, 1.281,  586.
    119.364793, 0.998552, 0.001166, 1.280,  591.
    119.365178, 0.993698, 0.001173, 1.279,  599.
    119.365564, 0.998103, 0.001180, 1.279,  602.
    119.365950, 0.999349, 0.001242, 1.278,  609.
    119.366334, 1.001949, 0.001265, 1.277,  613.
    119.366722, 1.002588, 0.001226, 1.277,  613.
    119.367108, 0.998781, 0.001160, 1.276,  608.
    119.367494, 0.997405, 0.001159, 1.276,  603.
    119.367880, 0.995331, 0.001168, 1.275,  600.
    119.368266, 0.994593, 0.001169, 1.274,  600.
    119.368653, 0.995390, 0.001179, 1.274,  602.
    119.369039, 0.995766, 0.001184, 1.273,  600.
    119.369424, 1.002629, 0.001207, 1.272,  600.
    119.369809, 0.997164, 0.001177, 1.272,  596.
    119.370196, 0.997652, 0.001166, 1.271,  589.
    119.370583, 0.996828, 0.001159, 1.271,  585.
    119.370969, 1.000263, 0.001169, 1.270,  575.
    119.371355, 0.995187, 0.001184, 1.269,  571.
    119.371741, 0.994262, 0.001175, 1.269,  562.
    119.372513, 0.994559, 0.001177, 1.268,  572.
    119.372899, 0.997263, 0.001167, 1.267,  582.
    119.373285, 0.993707, 0.001156, 1.266,  593.
    119.373670, 0.997473, 0.001162, 1.266,  602.
    119.374053, 0.996866, 0.001152, 1.265,  604.
    119.374440, 0.997900, 0.001160, 1.265,  602.
    119.374826, 0.991789, 0.001160, 1.264,  594.
    119.375213, 0.990533, 0.001189, 1.263,  584.
    119.375599, 0.999110, 0.001199, 1.263,  568.
    119.375986, 0.998235, 0.001178, 1.262,  559.
    119.376372, 0.994138, 0.001184, 1.261,  553.
    119.376758, 0.991890, 0.001216, 1.261,  553.
    119.377145, 0.995423, 0.001201, 1.260,  552.
    119.377531, 0.997752, 0.001170, 1.260,  548.
    119.377916, 0.993632, 0.001169, 1.259,  550.
    119.378301, 0.997761, 0.001178, 1.259,  550.
    119.378688, 0.993915, 0.001227, 1.258,  553.
    119.379073, 0.990171, 0.001175, 1.257,  550.
    119.379459, 0.998389, 0.001170, 1.257,  545.
    119.379844, 0.994931, 0.001178, 1.256,  540.
    119.380234, 0.996756, 0.001179, 1.256,  533.
    119.380619, 1.002413, 0.001219, 1.255,  525.
    119.381004, 1.001568, 0.001227, 1.254,  515.
    119.381389, 0.994342, 0.001210, 1.254,  510.
    119.381776, 0.995120, 0.001195, 1.253,  506.
    119.382162, 0.995836, 0.001180, 1.253,  503.
    119.382549, 0.993424, 0.001166, 1.252,  504.
    119.382936, 0.998297, 0.001168, 1.251,  506.
    119.383322, 0.994352, 0.001159, 1.251,  512.
    119.383708, 1.001343, 0.001161, 1.250,  517.
    119.384095, 0.997401, 0.001155, 1.250,  519.
    119.384480, 0.992110, 0.001163, 1.249,  529.
    119.384866, 1.001103, 0.001202, 1.249,  540.
    119.385252, 0.993392, 0.001198, 1.248,  552.
    119.385637, 0.994356, 0.001200, 1.247,  563.
    119.386023, 0.996486, 0.001184, 1.247,  572.
    119.386409, 0.993176, 0.001185, 1.246,  570.
    119.386795, 0.995999, 0.001189, 1.246,  563.
    119.387181, 0.997043, 0.001169, 1.245,  545.
    119.387568, 0.989758, 0.001171, 1.244,  531.
    119.387955, 0.994699, 0.001175, 1.244,  520.
    119.388728, 0.997027, 0.001174, 1.243,  517.
    119.389500, 0.999527, 0.001187, 1.242,  535.
    119.389887, 0.997949, 0.001184, 1.241,  543.
    119.390273, 1.001606, 0.001183, 1.240,  546.
    119.390659, 0.996427, 0.001186, 1.240,  543.
    119.391818, 1.000534, 0.001197, 1.238,  523.
    119.392204, 0.997094, 0.001219, 1.238,  518.
    119.392588, 1.000345, 0.001277, 1.237,  520.
    119.392977, 0.996384, 0.001225, 1.237,  524.
    119.393363, 0.996565, 0.001214, 1.236,  532.
    119.393749, 0.999315, 0.001230, 1.235,  538.
    119.394134, 0.996887, 0.001275, 1.235,  543.
    119.394526, 0.998302, 0.001281, 1.234,  547.
    119.394915, 0.998390, 0.001220, 1.234,  548.
    119.395301, 0.993863, 0.001205, 1.233,  546.
    119.395685, 0.994312, 0.001225, 1.233,  546.
    119.396070, 0.998571, 0.001211, 1.232,  545.
    119.396456, 0.998429, 0.001207, 1.232,  546.
    119.396842, 0.996257, 0.001193, 1.231,  554.
    119.397229, 0.998394, 0.001200, 1.230,  560.
    119.397615, 0.994615, 0.001221, 1.230,  566.
    119.398001, 0.998797, 0.001233, 1.229,  568.
    119.398387, 0.996404, 0.001225, 1.229,  564.
    119.399159, 0.997392, 0.001220, 1.228,  552.
    119.399545, 0.999167, 0.001196, 1.227,  551.
    119.399930, 0.997810, 0.001191, 1.227,  555.
    119.400316, 0.995881, 0.001207, 1.226,  559.
    119.400702, 1.001998, 0.001263, 1.226,  570.
    119.401088, 0.998615, 0.001223, 1.225,  579.
    119.401475, 0.991290, 0.001205, 1.224,  581.
    119.401861, 0.995753, 0.001255, 1.224,  581.
    119.402248, 0.999409, 0.001264, 1.223,  577.
    119.402638, 0.996636, 0.001208, 1.223,  570.
    119.403024, 0.997531, 0.001208, 1.222,  569.
    119.403410, 0.997607, 0.001211, 1.222,  570.
    119.403795, 0.996812, 0.001211, 1.221,  574.
    119.404568, 0.996699, 0.001202, 1.220,  572.
    119.405340, 0.997753, 0.001198, 1.219,  570.
    119.405726, 0.994631, 0.001215, 1.219,  577.
    119.406498, 0.999055, 0.001215, 1.217,  580.
    119.406885, 0.999581, 0.001247, 1.217,  581.
    119.407270, 0.993668, 0.001263, 1.216,  580.
    119.407656, 0.996988, 0.001244, 1.216,  581.
    119.408043, 0.999517, 0.001219, 1.215,  583.
    119.408427, 0.997237, 0.001226, 1.215,  583.
    119.408813, 0.996139, 0.001219, 1.214,  579.
    119.409199, 0.998610, 0.001221, 1.214,  575.
    119.409971, 0.999422, 0.001216, 1.213,  555.
    119.410357, 0.998443, 0.001207, 1.212,  546.
    119.410743, 0.997480, 0.001207, 1.212,  542.
    119.411129, 0.996678, 0.001215, 1.211,  545.
    119.411514, 0.994937, 0.001207, 1.211,  545.
    119.412286, 0.994991, 0.001206, 1.210,  545.
    119.412672, 0.996810, 0.001212, 1.209,  548.
    119.413444, 0.998074, 0.001223, 1.208,  547.
    119.413831, 0.994384, 0.001213, 1.208,  542.
    119.414217, 0.997096, 0.001224, 1.207,  540.
    119.414602, 0.996348, 0.001230, 1.207,  538.
    119.414988, 1.000646, 0.001235, 1.206,  531.
    119.415372, 0.994982, 0.001223, 1.206,  530.
    119.415758, 1.000262, 0.001240, 1.205,  525.
    119.416143, 0.999013, 0.001252, 1.205,  519.
    119.416528, 0.995861, 0.001241, 1.204,  515.
    119.416913, 0.993072, 0.001223, 1.204,  513.
    119.417300, 0.996076, 0.001230, 1.203,  509.
    119.417686, 0.993632, 0.001210, 1.203,  502.
    119.418071, 0.995069, 0.001255, 1.202,  494.
    119.418462, 0.998650, 0.001213, 1.202,  489.
    119.418847, 0.997544, 0.001217, 1.201,  485.
    119.419232, 1.000109, 0.001185, 1.201,  482.
    119.419618, 0.996681, 0.001183, 1.200,  484.
    119.420002, 0.995926, 0.001176, 1.200,  486.
    119.420388, 0.994272, 0.001174, 1.199,  486.
    119.420774, 0.994448, 0.001177, 1.199,  481.
    119.421159, 0.997873, 0.001200, 1.198,  478.
    119.421543, 0.994913, 0.001179, 1.198,  475.
    119.421928, 0.998890, 0.001196, 1.197,  478.
    119.422314, 1.000745, 0.001212, 1.197,  483.
    119.422701, 0.997322, 0.001207, 1.196,  480.
    119.423087, 0.995738, 0.001202, 1.196,  473.
    119.423472, 0.995490, 0.001204, 1.195,  474.
    119.423858, 0.993327, 0.001191, 1.195,  473.
    119.424243, 0.993681, 0.001189, 1.194,  470.
    119.424627, 0.998406, 0.001179, 1.194,  468.
    119.425013, 1.000167, 0.001175, 1.193,  463.
    119.425400, 0.995491, 0.001191, 1.193,  461.
    119.425786, 0.999244, 0.001185, 1.192,  461.
    119.426171, 0.998337, 0.001182, 1.192,  464.
    119.426943, 0.998273, 0.001171, 1.191,  458.
    119.427328, 0.997978, 0.001180, 1.191,  454.
    119.427715, 0.999196, 0.001184, 1.190,  454.
    119.428101, 0.998688, 0.001178, 1.190,  452.
    119.428487, 1.000681, 0.001199, 1.189,  454.
    119.428873, 1.001894, 0.001197, 1.189,  451.
    119.429258, 1.002509, 0.001201, 1.188,  451.
    119.429644, 1.002437, 0.001202, 1.188,  452.
    119.430028, 0.999148, 0.001217, 1.187,  463.
    119.430414, 1.000329, 0.001217, 1.187,  465.
    119.430799, 0.999575, 0.001194, 1.186,  461.
    119.431184, 1.003829, 0.001207, 1.186,  459.
    119.431570, 0.998643, 0.001200, 1.185,  457.
    119.431957, 0.992957, 0.001245, 1.185,  458.
    119.432347, 1.000878, 0.001314, 1.184,  459.
    119.432735, 0.997794, 0.001200, 1.184,  457.
    119.433121, 0.997579, 0.001242, 1.184,  457.
    119.433509, 0.997520, 0.001198, 1.183,  460.
    119.433896, 1.001419, 0.001210, 1.183,  462.
    119.434281, 0.996885, 0.001207, 1.182,  462.
    119.434667, 1.002265, 0.001205, 1.182,  465.
    119.435053, 0.997069, 0.001190, 1.181,  465.
    119.435437, 0.997470, 0.001190, 1.181,  467.
    119.435822, 0.999867, 0.001204, 1.180,  471.
    119.436209, 0.995248, 0.001258, 1.180,  475.
    119.436594, 1.003053, 0.001249, 1.179,  479.
    119.436978, 1.001964, 0.001240, 1.179,  482.
    119.437363, 1.003194, 0.001206, 1.179,  485.
    119.437749, 0.998902, 0.001190, 1.178,  490.
    119.438134, 0.998205, 0.001189, 1.178,  497.
    119.438519, 0.996378, 0.001180, 1.177,  501.
    119.438906, 1.000329, 0.001179, 1.177,  503.
    119.439292, 1.001453, 0.001174, 1.176,  506.
    119.439679, 0.994864, 0.001168, 1.176,  509.
    119.440065, 0.998680, 0.001181, 1.176,  511.
    119.440450, 1.000474, 0.001191, 1.175,  510.
    119.440836, 0.999633, 0.001183, 1.175,  510.
